Product,Quantity,Date
amoxil 250 mg capsule,49,15/08/2026
Furosemide (Sanofi) 40 mg Injection,100,10/08/2026
Cefixime 200 mg Tablet,87,06/08/2026
Calcium Carbonate (Libyan Pharma Co.) 500 mg Tablet,209,10/08/2026
spironolactone (gsk) 25 mg tablet,245,16/08/2026
Fucidin 2% Cream,163,16/08/2026
Levothyroxine (Medreich) 50 mcg Tablet,186,17/08/2026
Loperamide (Julphar) 2 mg Capsule,67,16/08/2026
lantus 100 iu/ml injection,48,15/08/2026
Spironolactone (Sanofi) 100 mg Tablet,114,09/08/2026
Tramadol 50 mg Capsule,196,16/08/2026
Motilium 10 mg Tablet,66,11/08/2026
clindamycin (roche) 300 mg gel,53,08/08/2026
