pharmacy_id,pharmacy_name,city,area,address,latitude,longitude,phone,status,last_sync
PH0001,Al-Nahda Care Pharmacy,Tripoli,Tajoura,"Tajoura St, Near Ring Road, Tripoli",32.843945,13.143599,0922458591,ACTIVE,2026-08-21 08:03:46
PH0002,Al-Shifa Care Pharmacy,Benghazi,Al-Hadaeq,"Al-Hadaeq St, Near Ring Road, Benghazi",32.140477,20.04753,0916647119,ACTIVE,2026-08-19 16:29:50
PH0003,Misrata Family Pharmacy,Tripoli,Fashloum,"Fashloum St, Near Old Market, Tripoli",32.926729,13.205522,0924226067,ACTIVE,2026-08-21 04:35:41
PH0004,Al-Ma'refa Pharmacy,Misrata,Al-Ghiran,"Al-Ghiran St, Near Central Square, Misrata",32.387596,15.052437,0923741438,ACTIVE,2026-08-20 17:22:52
PH0005,Al-Rahma Pharmacy & Supplies,Misrata,Al-Karareem,"Al-Karareem St, Near Grand Mosque, Misrata",32.419664,15.069661,0927637601,ACTIVE,2026-08-18 03:42:23
PH0006,Al-Noor Care Pharmacy,Sabha,Al-Manshiya,"Al-Manshiya St, Near Central Square, Sabha",27.052994,14.46335,0912065818,ACTIVE,2026-08-18 16:06:32
PH0007,Coastal Care Pharmacy,Benghazi,Al-Sabri,"Al-Sabri St, Near Corniche, Benghazi",32.075679,20.007089,0925418934,ACTIVE,2026-08-19 04:41:01
PH0008,Al-Noor Medical Pharmacy,Tripoli,Janzour,"Janzour St, Near Corniche, Tripoli",32.932647,13.2311,0911971823,ACTIVE,2026-08-20 08:25:01
PH0009,Al-Ahad Care Pharmacy,Tripoli,Ain Zara,"Ain Zara St, Near Central Square, Tripoli",32.859007,13.235992,0914553384,ACTIVE,2026-08-20 22:25:46
PH0010,Al-Nahda Pharmacy & Supplies,Misrata,Zawiyat Al-Mahjoub,"Zawiyat Al-Mahjoub St, Near Corniche, Misrata",32.340926,15.040419,0924841005,ACTIVE,2026-08-19 11:08:02
PH0011,Al-Karama Care Pharmacy,Zliten,Al-Qasabat,"Al-Qasabat St, Near Grand Mosque, Zliten",32.418719,14.587778,0917897151,ACTIVE,2026-08-19 02:02:54
PH0012,Al-Salam Family Pharmacy,Tripoli,Abu Salim,"Abu Salim St, Near Central Square, Tripoli",32.849219,13.186815,0922264748,ACTIVE,2026-08-17 19:37:51
PH0013,Al-Rawda Care Pharmacy,Benghazi,Al-Fuwayhat,"Al-Fuwayhat St, Near Old Market, Benghazi",32.160458,20.114993,0911036161,ACTIVE,2026-08-20 04:37:32
PH0014,Al-Ahad Pharmacy,Benghazi,Al-Berka,"Al-Berka St, Near Corniche, Benghazi",32.146457,20.01356,0929436429,ACTIVE,2026-08-20 03:43:23
PH0015,Al-Iman Pharmacy,Benghazi,Al-Selmani,"Al-Selmani St, Near Central Square, Benghazi",32.107007,20.076741,0925374922,ACTIVE,2026-08-19 22:41:55
PH0016,Al-Wahda Pharmacy,Tripoli,Gargaresh,"Gargaresh St, Near Corniche, Tripoli",32.835991,13.156879,0916855396,ACTIVE,2026-08-19 14:18:43
PH0017,Al-Noor Pharmacy & Supplies,Tripoli,Hay Al-Andalus,"Hay Al-Andalus St, Near Old Market, Tripoli",32.845854,13.165111,0916752576,ACTIVE,2026-08-18 20:28:13
PH0018,Al-Salam Medical Pharmacy,Tripoli,Tajoura,"Tajoura St, Near Corniche, Tripoli",32.84659,13.18432,0921162230,PENDING,2026-07-16 13:24:40
PH0019,Al-Amal Medical Pharmacy,Tripoli,Fashloum,"Fashloum St, Near Ring Road, Tripoli",32.852409,13.161244,0917817881,ACTIVE,2026-08-19 08:53:20
PH0020,Sundial Pharmacy,Benghazi,Al-Sabri,"Al-Sabri St, Near Old Market, Benghazi",32.069671,20.11136,0924731818,ACTIVE,2026-08-19 09:08:42
PH0021,Al-Manar Family Pharmacy,Tripoli,Hay Al-Andalus,"Hay Al-Andalus St, Near Ring Road, Tripoli",32.908742,13.232539,0911463060,ACTIVE,2026-08-20 07:17:14
PH0022,Al-Manar Pharmacy,Misrata,Qasr Ahmad,"Qasr Ahmad St, Near Old Market, Misrata",32.360723,15.101091,0918315831,ACTIVE,2026-08-16 21:39:51
PH0023,Al-Zahra Pharmacy & Supplies,Misrata,Zawiyat Al-Mahjoub,"Zawiyat Al-Mahjoub St, Near Corniche, Misrata",32.351614,15.080907,0915960271,ACTIVE,2026-08-18 15:06:26
PH0024,Al-Shifa Medical Pharmacy,Benghazi,Al-Hadaeq,"Al-Hadaeq St, Near Corniche, Benghazi",32.09113,20.058287,0926406444,ACTIVE,2026-08-19 21:38:28
PH0025,Al-Nahda Medical Pharmacy,Misrata,Zawiyat Al-Mahjoub,"Zawiyat Al-Mahjoub St, Near Central Square, Misrata",32.341457,15.055796,0915107776,ACTIVE,2026-08-18 22:51:09
PH0026,Harbor Light Pharmacy,Tripoli,Fashloum,"Fashloum St, Near Corniche, Tripoli",32.942156,13.193455,0915180853,ACTIVE,2026-08-19 15:22:15
PH0027,Al-Wafaa Family Pharmacy,Zawiya,Bir Al-Ghanam,"Bir Al-Ghanam St, Near Old Market, Zawiya",32.746208,12.757613,0925652512,ACTIVE,2026-08-18 15:20:58
PH0028,Al-Hayat Care Pharmacy,Misrata,Qasr Ahmad,"Qasr Ahmad St, Near Central Square, Misrata",32.3326,15.077864,0914589533,ACTIVE,2026-08-16 17:05:46
