Medicine Name,Qty,Last Updated
Calcium Carbonate (MSD) 600 mg,154,2026-08-11
Omeprazole 20 mg,151,2026-08-18
Ambroxol 30 mg,129,2026-08-09
RANITIDINE (JULPHAR) 150 MG  ,288,2026-08-06
Levothyroxine (Bayer) 50 mcg,144,2026-08-12
Naproxen (Pfizer) 500 mg,89,2026-08-20
Meloxicam (SPIMACO) 15 mg,198,2026-08-07
Warfarin (Pfizer) 5 mg,,2026-08-11
Clindamycin (Sanofi) 300 mg,194,2026-08-10
Calcium Carbonate (MSD) 500 mg,31,2026-08-02
Lipitor 10 mg,148,2026-08-04
,25,2026-08-02
Loperamide (MSD) 2 mg,181,2026-08-08
Coversyl 4 mg,31,2026-08-18
Furosemide (Al-Andalous Pharma) 40 mg,226,2026-08-07
Calcium Carbonate (MSD) 600 mg,2,2026-08-12
