inventory_id,pharmacy_id,medicine_id,quantity,status,updated_at
INV000001,PH0001,MED0047,112,AVAILABLE,2026-08-21 06:34:24
INV000002,PH0001,MED0379,315,AVAILABLE,2026-08-21 05:48:25
INV000003,PH0001,MED0517,138,AVAILABLE,2026-08-21 02:12:19
INV000004,PH0001,MED0018,216,AVAILABLE,2026-08-21 07:37:14
INV000005,PH0001,MED0027,28,AVAILABLE,2026-08-21 07:17:03
INV000006,PH0001,MED0042,304,AVAILABLE,2026-08-21 02:37:10
INV000007,PH0001,MED0250,218,AVAILABLE,2026-08-21 04:57:40
INV000008,PH0001,MED0049,46,AVAILABLE,2026-08-21 05:42:09
INV000009,PH0001,MED0038,222,AVAILABLE,2026-08-21 06:37:49
INV000010,PH0001,MED0369,0,OUT_OF_STOCK,2026-08-21 07:17:13
INV000011,PH0001,MED0201,348,AVAILABLE,2026-08-21 07:32:11
INV000012,PH0001,MED0017,156,AVAILABLE,2026-08-21 03:02:17
INV000013,PH0001,MED0323,1,LOW_STOCK,2026-08-21 02:54:19
INV000014,PH0001,MED0023,323,AVAILABLE,2026-08-21 07:21:11
INV000015,PH0001,MED0506,399,AVAILABLE,2026-08-21 06:38:21
INV000016,PH0001,MED0358,206,AVAILABLE,2026-08-21 07:15:04
INV000017,PH0001,MED0127,193,AVAILABLE,2026-08-21 07:06:51
INV000018,PH0001,MED0108,255,AVAILABLE,2026-08-21 03:31:15
INV000019,PH0001,MED0097,376,AVAILABLE,2026-08-21 04:28:40
INV000020,PH0001,MED0289,77,AVAILABLE,2026-08-21 04:36:57
INV000021,PH0001,MED0373,220,AVAILABLE,2026-08-21 07:48:46
INV000022,PH0001,MED0477,293,AVAILABLE,2026-08-21 05:28:49
INV000023,PH0001,MED0162,257,AVAILABLE,2026-08-21 05:58:11
INV000024,PH0001,MED0106,272,AVAILABLE,2026-08-21 02:27:21
INV000025,PH0001,MED0011,151,AVAILABLE,2026-08-21 03:11:41
INV000026,PH0001,MED0278,5,LOW_STOCK,2026-08-21 07:47:58
INV000027,PH0001,MED0380,305,AVAILABLE,2026-08-21 02:17:12
INV000028,PH0001,MED0067,166,AVAILABLE,2026-08-21 02:30:30
INV000029,PH0001,MED0499,66,AVAILABLE,2026-08-21 07:18:59
INV000030,PH0001,MED0181,307,AVAILABLE,2026-08-21 07:20:17
INV000031,PH0001,MED0254,219,AVAILABLE,2026-08-21 05:58:32
INV000032,PH0001,MED0008,128,AVAILABLE,2026-08-21 06:21:44
INV000033,PH0001,MED0062,164,AVAILABLE,2026-08-21 03:29:24
INV000034,PH0001,MED0268,227,AVAILABLE,2026-08-21 07:07:16
INV000035,PH0001,MED0296,371,AVAILABLE,2026-08-21 05:50:12
INV000036,PH0001,MED0504,335,AVAILABLE,2026-08-21 05:05:33
INV000037,PH0001,MED0410,228,AVAILABLE,2026-08-21 05:47:00
INV000038,PH0001,MED0113,229,AVAILABLE,2026-08-21 07:26:50
INV000039,PH0001,MED0193,91,AVAILABLE,2026-08-21 06:12:18
