history_id,pharmacy_id,medicine_id,quantity,recorded_at
HIST000001,PH0001,MED0212,168,2025-11-27 14:00:00
HIST000002,PH0001,MED0212,166,2025-12-24 14:00:00
HIST000003,PH0001,MED0212,152,2026-01-24 14:00:00
HIST000004,PH0001,MED0212,144,2026-02-24 14:00:00
HIST000005,PH0001,MED0212,165,2026-03-25 14:00:00
HIST000006,PH0001,MED0212,151,2026-04-25 14:00:00
HIST000007,PH0001,MED0212,147,2026-05-24 14:00:00
HIST000008,PH0001,MED0212,163,2026-06-24 14:00:00
HIST000009,PH0001,MED0212,171,2026-07-22 14:00:00
HIST000010,PH0001,MED0504,223,2025-11-26 14:00:00
HIST000011,PH0001,MED0504,226,2025-12-24 14:00:00
HIST000012,PH0001,MED0504,230,2026-01-26 14:00:00
HIST000013,PH0001,MED0504,199,2026-02-25 14:00:00
HIST000014,PH0001,MED0504,202,2026-03-25 14:00:00
HIST000015,PH0001,MED0504,213,2026-04-25 14:00:00
HIST000016,PH0001,MED0504,222,2026-05-27 14:00:00
HIST000017,PH0001,MED0504,194,2026-06-23 14:00:00
HIST000018,PH0001,MED0504,194,2026-07-22 14:00:00
HIST000019,PH0001,MED0250,119,2025-11-24 14:00:00
HIST000020,PH0001,MED0250,108,2025-12-24 14:00:00
HIST000021,PH0001,MED0250,82,2026-01-26 14:00:00
HIST000022,PH0001,MED0250,61,2026-02-24 14:00:00
HIST000023,PH0001,MED0250,41,2026-03-27 14:00:00
HIST000024,PH0001,MED0250,36,2026-04-26 14:00:00
HIST000025,PH0001,MED0250,28,2026-05-25 14:00:00
HIST000026,PH0001,MED0250,21,2026-06-25 14:00:00
HIST000027,PH0001,MED0250,15,2026-07-26 14:00:00
HIST000028,PH0001,MED0453,185,2025-11-25 14:00:00
HIST000029,PH0001,MED0453,192,2025-12-24 14:00:00
HIST000030,PH0001,MED0453,219,2026-01-24 14:00:00
HIST000031,PH0001,MED0453,200,2026-02-22 14:00:00
HIST000032,PH0001,MED0453,208,2026-03-25 14:00:00
HIST000033,PH0001,MED0453,196,2026-04-27 14:00:00
HIST000034,PH0001,MED0453,210,2026-05-25 14:00:00
HIST000035,PH0001,MED0453,203,2026-06-24 14:00:00
HIST000036,PH0001,MED0453,197,2026-07-23 14:00:00
HIST000037,PH0001,MED0027,104,2025-11-25 14:00:00
HIST000038,PH0001,MED0027,100,2025-12-27 14:00:00
HIST000039,PH0001,MED0027,102,2026-01-24 14:00:00
HIST000040,PH0001,MED0027,117,2026-02-24 14:00:00
HIST000041,PH0001,MED0027,114,2026-03-26 14:00:00
HIST000042,PH0001,MED0027,98,2026-04-24 14:00:00
HIST000043,PH0001,MED0027,116,2026-05-26 14:00:00
HIST000044,PH0001,MED0027,118,2026-06-22 14:00:00
HIST000045,PH0001,MED0027,97,2026-07-26 14:00:00
HIST000046,PH0001,MED0106,102,2025-11-27 14:00:00
HIST000047,PH0001,MED0106,98,2025-12-25 14:00:00
HIST000048,PH0001,MED0106,105,2026-01-23 14:00:00
HIST000049,PH0001,MED0106,110,2026-02-22 14:00:00
HIST000050,PH0001,MED0106,106,2026-03-27 14:00:00
HIST000051,PH0001,MED0106,99,2026-04-24 14:00:00
HIST000052,PH0001,MED0106,114,2026-05-25 14:00:00
HIST000053,PH0001,MED0106,99,2026-06-25 14:00:00
HIST000054,PH0001,MED0106,107,2026-07-24 14:00:00
HIST000055,PH0001,MED0162,86,2025-11-28 14:00:00
HIST000056,PH0001,MED0162,74,2025-12-28 14:00:00
HIST000057,PH0001,MED0162,62,2026-01-26 14:00:00
HIST000058,PH0001,MED0162,51,2026-02-24 14:00:00
