Drug_Name,Stock,Updated_At
Calcium_Carbonate_(Novartis)_500_mg,108,2026-08-19T00:47:10
Hydrocortisone_(Sanofi)_1%,288,2026-08-17T15:51:03
Warfarin_(Pfizer)_3_mg,47,2026-08-01T09:37:31
Lipitor_40_mg,152,2026-08-13T06:03:19
Ibuprofen_400_mg,259,2026-08-05T02:05:00
Dexamethasone_(Pfizer)_0.5_mg,N/A,2026-08-07T11:10:35
Naproxen_(Medreich)_500_mg,134,2026-08-10T16:56:01
Naproxen_(Sanofi)_250_mg,289,2026-08-05T09:30:53
Clindamycin_(MSD)_300_mg,108,2026-08-05T01:14:52
Spironolactone_(Novartis)_25_mg,209,2026-08-09T11:57:45
Levothyroxine_(Hikma)_100_mcg,249,2026-08-18T08:51:30
Furosemide_(GSK)_40_mg,261,2026-08-11T08:27:59
